                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95835,                0.53846,                 1.1402,                0.84029,                0.70323,                0.77615,                0.40606,                 1.4354,                0.72548,                 1.6623,              0.0018654,              0.0018654,              0.0018654
                     36,                 0.9584,                0.52146,                 1.1373,                0.84413,                0.68482,                0.76208,                0.39892,                 1.4506,                0.73834,                 1.6517,              0.0018614,              0.0018614,              0.0018614
                     37,                0.94331,                0.53747,                 1.1456,                0.83762,                0.65264,                0.73144,                 0.3861,                  1.473,                0.77151,                 1.6709,              0.0018574,              0.0018574,              0.0018574
                     38,                0.95773,                0.55924,                 1.1703,                0.87316,                0.66254,                0.74977,                0.38618,                 1.5092,                0.75889,                 1.7261,              0.0018535,              0.0018535,              0.0018535
                     39,                0.99466,                0.54222,                 1.1361,                0.87291,                0.68399,                0.77087,                0.41559,                 1.4347,                0.69112,                 1.6515,              0.0018495,              0.0018495,              0.0018495
                     40,                0.96207,                0.53582,                 1.1308,                0.87441,                0.65182,                 0.7629,                0.39803,                  1.445,                0.69949,                 1.6423,              0.0018456,              0.0018456,              0.0018456
                     41,                0.95245,                0.52053,                 1.1236,                0.85415,                0.69884,                0.78906,                0.41949,                  1.431,                0.69201,                 1.6204,              0.0018416,              0.0018416,              0.0018416
                     42,                0.91823,                0.51343,                 1.1201,                0.89287,                0.67162,                0.77549,                0.41344,                 1.4297,                0.72694,                 1.6396,              0.0018376,              0.0018376,              0.0018376
                     43,                0.91144,                0.51647,                 1.1271,                 0.8353,                0.66954,                0.74897,                 0.3888,                 1.5094,                0.77047,                 1.6836,              0.0018337,              0.0018337,              0.0018337
                     44,                0.90215,                0.51113,                 1.1169,                0.86895,                0.66197,                0.75937,                0.39698,                 1.4371,                0.72272,                 1.6651,              0.0018297,              0.0018297,              0.0018297
                     45,                0.92072,                0.52776,                  1.125,                0.84844,                0.66974,                0.75811,                0.39674,                 1.4633,                0.75836,                 1.6731,              0.0018258,              0.0018258,              0.0018258
                     46,                0.90547,                0.52077,                 1.1186,                0.86051,                0.67739,                0.76152,                 0.4076,                 1.4495,                0.74263,                 1.6341,              0.0018218,              0.0018218,              0.0018218
                     47,                0.91419,                0.52101,                 1.1245,                0.84045,                0.65196,                 0.7342,                0.39055,                 1.4564,                0.74892,                 1.6373,              0.0018178,              0.0018178,              0.0018178
                     48,                0.96219,                0.53552,                 1.1219,                0.85184,                0.67835,                0.76054,                0.40858,                 1.4161,                0.73392,                 1.6237,              0.0018139,              0.0018139,              0.0018139
                     49,                0.88356,                0.51455,                 1.0989,                0.87463,                0.65621,                0.75285,                0.39462,                 1.4392,                0.73309,                 1.6244,              0.0018099,              0.0018099,              0.0018099
                     50,                0.89945,                0.52288,                 1.1185,                0.84679,                0.65211,                0.73668,                0.40224,                 1.4126,                0.72692,                 1.6079,               0.001806,               0.001806,               0.001806
                     51,                0.89973,                0.51406,                 1.1224,                0.86192,                0.69059,                0.76955,                0.40959,                   1.41,                0.70022,                 1.6266,               0.001802,               0.001802,               0.001802
                     52,                0.86995,                0.50385,                 1.0884,                0.85407,                0.68086,                 0.7645,                0.41571,                  1.429,                0.74211,                 1.6357,               0.001798,               0.001798,               0.001798
                     53,                0.86069,                0.48203,                 1.0711,                 0.8446,                0.65429,                0.73312,                0.39907,                 1.4278,                0.74742,                 1.6795,              0.0017941,              0.0017941,              0.0017941
                     54,                0.88339,                0.50151,                 1.0868,                0.87692,                0.65264,                0.75826,                0.40707,                 1.4353,                0.71823,                 1.6546,              0.0017901,              0.0017901,              0.0017901
                     55,                0.88373,                0.48868,                 1.0903,                0.87319,                0.63861,                0.73132,                0.40186,                 1.4403,                0.75546,                 1.6399,              0.0017862,              0.0017862,              0.0017862
                     56,                0.90062,                0.51524,                   1.12,                0.85838,                0.66015,                0.74903,                0.40498,                 1.4265,                0.76363,                 1.6474,              0.0017822,              0.0017822,              0.0017822
                     57,                0.89039,                0.49343,                 1.1014,                0.87329,                0.67103,                0.77233,                0.42089,                 1.4075,                0.72772,                 1.6131,              0.0017782,              0.0017782,              0.0017782
                     58,                0.88377,                0.50042,                 1.0973,                0.84911,                0.67904,                0.75761,                0.39911,                 1.4459,                0.76451,                 1.6572,              0.0017743,              0.0017743,              0.0017743
                     59,                0.86383,                0.49269,                 1.0968,                  0.852,                0.63614,                0.71808,                0.39409,                 1.4186,                 0.8289,                 1.6304,              0.0017703,              0.0017703,              0.0017703
                     60,                0.87743,                0.50141,                 1.0932,                0.88186,                0.61588,                0.72408,                 0.3969,                 1.4222,                 0.7823,                 1.6555,              0.0017664,              0.0017664,              0.0017664
                     61,                0.85259,                 0.4792,                 1.0885,                0.85024,                0.68389,                0.76644,                0.41202,                 1.4082,                0.71093,                 1.6546,              0.0017624,              0.0017624,              0.0017624
                     62,                0.89153,                0.50023,                 1.0882,                0.85061,                0.70001,                 0.7796,                0.41456,                 1.3989,                0.72419,                 1.6358,              0.0017584,              0.0017584,              0.0017584
                     63,                0.84767,                0.48143,                 1.0792,                0.82572,                0.69059,                 0.7639,                0.41048,                 1.3909,                0.72116,                 1.6164,              0.0017545,              0.0017545,              0.0017545
                     64,                0.87287,                0.51258,                 1.0976,                0.84516,                0.67574,                0.76239,                0.41269,                 1.4119,                0.73637,                 1.6294,              0.0017505,              0.0017505,              0.0017505
                     65,                0.83073,                0.49184,                 1.0977,                0.85969,                0.65717,                0.74666,                 0.4099,                 1.4079,                0.73862,                 1.6284,              0.0017466,              0.0017466,              0.0017466
                     66,                0.90383,                0.50357,                 1.0983,                0.84532,                0.68085,                0.75321,                0.41828,                 1.3835,                0.70899,                  1.606,              0.0017426,              0.0017426,              0.0017426
                     67,                0.84203,                0.48427,                 1.0895,                0.86793,                0.69405,                0.76326,                  0.411,                 1.3884,                0.70331,                 1.6153,              0.0017386,              0.0017386,              0.0017386
                     68,                0.84947,                0.48004,                 1.0851,                0.86684,                0.71617,                0.78404,                0.42808,                 1.3872,                0.66617,                 1.6348,              0.0017347,              0.0017347,              0.0017347
                     69,                0.82572,                0.46036,                 1.0458,                0.84644,                0.67739,                0.76656,                0.43004,                 1.3781,                0.70812,                 1.6177,              0.0017307,              0.0017307,              0.0017307
                     70,                0.84803,                0.47392,                  1.056,                0.87525,                0.64255,                0.72981,                0.40329,                 1.4019,                0.76178,                 1.6394,              0.0017268,              0.0017268,              0.0017268
                     71,                0.84218,                0.46788,                 1.0616,                0.86397,                0.69472,                0.76819,                0.41243,                 1.4285,                0.74961,                 1.6686,              0.0017228,              0.0017228,              0.0017228
                     72,                0.84479,                0.46655,                 1.0737,                0.86043,                0.67822,                0.76767,                0.41072,                 1.3974,                0.72408,                 1.6273,              0.0017188,              0.0017188,              0.0017188
                     73,                0.82326,                0.47647,                  1.078,                0.86401,                0.68069,                0.76665,                0.41786,                 1.3715,                0.70221,                 1.6132,              0.0017149,              0.0017149,              0.0017149
                     74,                0.81517,                 0.4601,                 1.0756,                0.84431,                0.69801,                0.76969,                0.41855,                 1.4051,                0.71503,                 1.6243,              0.0017109,              0.0017109,              0.0017109
